	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YKR032W	0.06	0.24	0.13	0.03	0.06	0.27	-0.03	0.18	0.06	0.01	-0.43	-0.19	0.06	-0.11	-0.3	0.04	-0.23	0.15
YKR031C	0.0	-0.28	-0.24	-0.16	0.07	0.2	-0.16	-0.03	0.1	0.09	-0.14	0.04	-0.01	0.09	0.0	0.43	-0.26	0.23
YKR030W	0.05	-0.14	-0.14	0.02	-0.2	0.19	0.07	0.18	0.16	-0.02	0.01	-0.15	0.08	-0.22	0.07	-0.01	0.18	-0.12
YKR029C	-0.17	-0.11	-0.38	-0.65	-0.37	0.05	-0.07	0.31	0.41	0.195	-0.02	0.09	0.07	-0.06	0.26	0.14	-0.09	0.22
YKR028W	-0.16	0.02	-0.42	-0.02	-0.2	-0.2	0.07	-0.15	-0.05	0.05	0.11	0.21	0.18	0.08	0.15	0.33	-0.07	0.08
YKR027W	-0.04	0.2	-0.01	0.21	-0.15	0.27	-0.12	-0.12	-0.08	0.24	-0.09	0.14	-0.15	-0.32	-0.18	0.18	0.01	-0.01
YKR026C	0.23	-0.08	-0.07	0.23	-0.02	-0.02	0.03	-0.07	0.16	-0.02	0.12	-0.12	0.22	-0.13	-0.02	-0.13	-0.24	-0.1
YKR025W	0.11	-0.24	-0.32	-0.01	-0.22	0.09	0.11	0.18	0.28	0.36	-0.02	0.03	0.08	-0.43	-0.09	0.06	-0.01	0.06
YKR024C	0.16	-0.72	-0.77	-0.1	0.11	-0.12	0.39	0.08	0.2	0.11	-0.07	-0.12	0.31	-0.12	0.24	0.23	0.27	-0.09
YKR023W	0.04	0.19	0.04	0.12	0.01	0.1	0.27	0.14	0.07	0.08	-0.19	-0.34	-0.09	-0.11	-0.01	-0.06	-0.36	0.11
YKR022C	0.09	-0.25	0.17	-0.09	0.04	-0.27	0.21	0.37	0.12	0.01	-0.17	-0.01	0.01	-0.41	-0.21	-0.1	0.49	-0.01
YKR021W	-0.2	-0.08	0.02	-0.26	-0.14	-0.22	0.23	0.24	0.27	0.33	-0.1	-0.03	-0.18	-0.03	-0.18	0.04	0.21	0.04
YKR020W	0.19	0.29	0.18	0.06	0.05	-0.15	0.1	0.08	-0.06	-0.18	-0.11	-0.2	0.13	-0.45	0.05	-0.08	0.24	-0.13
YKR019C	-0.12	0.58	-0.15	0.03	0.07	-0.07	-0.02	-0.08	-0.08	0.06	-0.04	-0.08	-0.24	-0.12	0.29	-0.12	0.25	-0.15
YKR018C	0.21	0.16	0.23	0.28	0.07	0.04	0.05	-0.08	-0.15	0.11	-0.12	-0.07	-0.07	-0.34	0.03	-0.26	0.14	-0.25
YKR017C	0.21	0.38	0.1	-0.05	-0.12	-0.28	-0.18	-0.25	-0.32	0.39	-0.26	0.24	-0.16	0.09	-0.32	-0.14	0.27	0.15
YKR016W	0.14	0.31	0.21	0.01	-0.08	-0.23	0.23	-0.08	-0.06	-0.01	-0.08	0.04	-0.06	-0.33	-0.15	-0.1	0.24	-0.01
YKR015C	0.19	0.12	-0.02	0.01	0.2	0.0	-0.02	0.17	-0.08	0.15	-0.34	-0.2	-0.26	0.0	0.06	-0.07	0.23	-0.13
YKR014C	0.15	-0.07	0.28	0.15	0.2	-0.32	0.26	-0.32	0.08	-0.12	0.06	-0.03	0.24	-0.28	0.08	-0.32	0.2	-0.25
YKR013W	0.46	-0.29	1.06	0.98	0.9	0.26	-0.23	-1.28	-1.44	-1.46	-0.54	0.83	1.03	0.95	0.82	-0.32	-0.52	-1.23
YKR012C	0.47	0.15	0.69	1.36	0.74	0.4	-0.39	-0.86	-1.21	-1.69	-0.64	0.54	0.98	0.62	0.61	-0.1	-0.66	-1.0
YKR011C	-0.1	0.75	0.22	0.1	-0.17	0.43	0.14	0.11	-0.21	0.13	-0.34	-0.06	-0.08	-0.5	-0.13	-0.02	-0.01	-0.25
YKR010C	-0.49	-0.47	-0.16	0.16	0.32	0.32	0.2	-0.12	-0.01	-0.35	-0.31	-0.03	0.33	0.17	0.29	0.32	-0.12	-0.03
YKR009C	-0.13	0.07	0.02	-0.1	0.02	0.29	0.14	-0.03	0.22	0.02	-0.05	-0.1	-0.06	-0.25	-0.13	0.23	0.0	-0.15
YKR008W	-0.16	0.05	-0.41	-0.06	0.07	0.08	0.08	-0.01	0.02	-0.03	0.17	-0.16	0.08	-0.08	0.25	0.27	-0.24	0.07
YKR007W	-0.42	0.06	-0.38	0.2	-0.14	0.02	-0.11	-0.32	0.12	0.33	0.33	0.0	0.37	-0.16	0.27	0.28	0.03	-0.48
YKR006C	0.17	0.1	0.04	0.22	-0.12	-0.01	0.07	-0.01	0.11	-0.03	0.05	-0.17	0.16	-0.06	0.0	-0.03	-0.42	-0.06
YKR005C	-0.41	-0.245	-0.08	0.07	-0.02	-0.145	-0.27	-0.02	0.0	0.03	0.68	0.19	-0.14	-0.27	-0.06	0.22	0.1	-0.04
YKR004C	-0.42	2.81	-0.5	-0.28	-0.07	0.24	-0.03	0.06	-0.01	-0.28	-0.35	-0.54	-0.1	-0.26	-0.15	0.04	0.0	-0.18
YKR003W	0.03	0.47	0.28	0.24	-0.12	0.23	-0.12	-0.42	-0.12	0.21	0.105	0.0	-0.16	-0.54	0.06	0.32	-0.07	-0.28
YKR002W	-0.01	0.38	0.0	0.46	-0.1	0.03	-0.1	-0.07	0.0	-0.2	0.11	-0.03	-0.05	-0.19	-0.05	0.26	-0.42	-0.03
YKR001C	-0.61	-0.1	-0.27	0.12	0.23	0.07	0.2	-0.18	0.27	0.05	-0.03	-0.11	0.02	0.01	0.39	0.32	-0.18	-0.23
YKL225W	0.01	-0.1	0.56	0.0	0.44	-0.27	0.01	-0.22	-0.05	-0.17	0.86	-0.1	-0.05	-0.29	-0.17	-0.24	-0.11	-0.11
YKL224C	0.16	0.21	0.25	0.06	0.16	-0.17	0.24	-0.29	-0.02	-0.13	-0.08	-0.08	0.32	-0.31	0.16	-0.31	0.31	-0.47
YKL223W	-0.12	-0.06	0.2	-0.16	0.73	0.395	0.06	-0.43	-0.31	-0.22	1.09	-0.26	0.16	-0.47	0.28	-0.12	-0.09	-0.29
YKL222C	0.15	-0.08	0.04	-0.01	0.09	-0.24	0.15	-0.03	0.07	0.18	0.09	-0.24	0.1	-0.37	-0.11	-0.09	0.32	-0.03
YKL221W	0.04	-0.14	0.36	0.14	0.47	0.49	-0.06	0.31	-0.4	-0.12	0.32	-0.4	-0.49	-0.19	-0.05	-0.15	0.22	-0.34
YKL220C	-0.09	0.12	0.04	0.06	0.07	-0.32	-0.02	-0.26	-0.06	-0.19	0.6	-0.22	0.29	-0.37	0.58	0.08	0.0	-0.3
YKL219W	-0.08	-0.25	0.46	0.05	0.54	0.3	0.34	-0.15	-0.09	-0.22	0.21	-0.43	-0.03	-0.26	0.22	-0.2	0.14	-0.54
YKL218C	0.38	1.02	0.87	0.36	0.21	-0.34	-0.07	-0.33	-0.29	-0.17	0.17	-0.2	0.04	-0.5	-0.3	-0.39	-0.07	-0.38
YKL217W	-0.18	0.14	0.35	0.12	0.26	0.25	0.07	-0.21	-0.3	-0.02	0.43	-0.35	-0.43	-0.31	0.1	-0.03	0.21	-0.12
YKL216W	0.32	-0.35	-0.54	-0.23	0.08	-0.13	0.37	0.02	0.15	0.14	0.06	-0.08	0.3	-0.27	0.09	-0.14	0.28	-0.08
YKL215C	-0.3	0.43	-0.01	-0.16	0.28	0.08	-0.07	-0.12	-0.09	-0.02	0.93	-0.28	-0.38	-0.12	0.25	0.06	-0.13	-0.3
YKL214C	0.12	0.06	0.01	-0.12	0.08	0.0	0.14	0.06	0.17	0.18	0.0	-0.11	0.19	-0.49	0.04	-0.36	0.26	-0.23
YKL213C	0.01	-0.14	0.2	0.18	0.2	-0.14	-0.33	0.1	0.15	-0.12	0.95	0.0	-0.05	-0.12	0.34	0.19	-0.51	-0.92
YKL212W	0.24	0.07	-0.04	0.37	0.03	0.19	-0.02	-0.11	0.09	-0.24	-0.04	-0.01	0.03	-0.06	0.03	-0.11	-0.32	-0.09
YKL211C	-0.22	-0.2	0.25	-0.06	0.19	-0.28	-0.25	-0.14	0.33	-0.03	0.86	-0.17	0.04	-0.07	0.37	0.15	-0.47	-0.3
YKL210W	-0.13	-0.18	-0.5	-0.04	-0.16	-0.035	0.09	0.21	0.33	0.02	0.22	0.25	0.06	-0.09	0.04	0.42	-0.45	0.12
YKL209C	0.64	0.07	0.14	-0.46	0.2	-0.84	-0.88	-0.39	0.19	0.4	1.49	0.24	-0.21	-0.39	0.1	0.12	-0.32	-0.1
YKL208W	0.05	-0.125	-0.3	-0.02	-0.12	0.44	0.12	-0.12	0.2	0.22	-0.21	0.15	0.01	-0.24	-0.49	-0.12	-0.04	0.23
YKL207W	-0.33	-0.39	-0.06	-0.07	0.26	-0.07	-0.04	0.06	0.29	-0.02	0.27	-0.09	0.19	-0.02	0.35	0.27	-0.17	-0.44
YKL206C	0.11	0.07	-0.08	-0.06	-0.32	0.28	0.11	0.13	0.13	-0.14	-0.1	-0.04	0.13	-0.04	-0.21	-0.02	0.02	0.05
YKL205W	-0.1	-0.6	-0.14	-0.15	0.2	-0.24	-0.22	-0.04	0.32	0.05	0.98	0.08	-0.14	-0.12	0.48	0.47	-0.39	-0.43
YKL204W	-0.03	-0.03	-0.38	-0.38	-0.31	-0.05	0.11	0.06	0.08	0.62	0.13	0.145	0.16	0.02	-0.12	0.22	-0.23	0.16
YKL203C	-0.31	2.05	0.08	-0.01	-0.2	-0.36	-0.27	-0.17	-0.06	0.04	0.08	-0.14	-0.34	-0.43	0.62	0.08	-0.47	-0.17
YKL202W	-0.22	-0.09	0.51	0.12	-0.18	0.09	0.28	0.14	0.07	-0.16	-0.12	-0.31	-0.2	-0.16	-0.05	0.03	0.11	0.15
YKL201C	-0.24	0.03	0.38	0.335	0.29	0.52	0.26	0.02	-0.06	-0.09	-0.12	-0.45	-0.41	-0.2	0.09	0.1	0.24	-0.37
YKL200C	-0.01	0.26	0.26	-0.09	0.03	0.03	0.37	0.08	-0.04	-0.07	-0.29	-0.35	-0.02	-0.44	0.01	-0.04	0.34	-0.02
YKL199C	0.06	-0.44	0.3	0.1	0.33	0.13	0.24	-0.15	-0.02	0.14	0.3	-0.1	-0.01	-0.26	0.01	0.01	0.01	-0.5
YKL198C	0.0	-0.22	0.05	0.33	0.14	-0.11	0.15	0.02	-0.17	0.22	-0.24	0.17	0.03	-0.1	-0.19	-0.26	0.36	-0.17
YKL197C	-0.01	-0.33	0.1	-0.09	0.26	-0.22	0.25	0.05	0.0	0.185	0.37	0.02	0.0	-0.33	0.27	-0.09	0.12	-0.37
YKL196C	0.08	-0.26	0.03	0.03	-0.11	0.03	0.37	0.37	0.37	0.0	0.0	-0.16	0.23	-0.43	0.21	-0.24	-0.47	-0.06
YKL195W	0.21	0.12	0.34	0.24	-0.19	0.13	0.19	0.15	-0.13	-0.16	-0.16	-0.06	0.08	-0.21	-0.21	-0.1	0.04	-0.27
YKL194C	0.29	0.44	0.28	0.29	0.1	0.12	-0.03	0.02	0.06	-0.43	-0.11	0.07	-0.03	-0.52	-0.55	-0.17	0.02	0.13
YKL193C	0.06	0.04	0.16	-0.19	0.6	0.01	0.33	-0.01	0.01	-0.19	0.16	-0.36	-0.15	-0.43	0.18	-0.05	0.14	-0.32
YKL192C	0.08	-0.23	0.18	0.05	0.18	0.295	0.41	0.02	0.21	-0.03	0.04	-0.27	0.26	-0.42	0.18	-0.4	0.13	-0.36
YKL191W	0.18	-0.75	-0.56	-0.46	0.0	0.46	0.33	0.19	0.18	0.1	0.0	-0.17	0.1	0.02	0.19	-0.13	0.36	-0.04
YKL190W	0.05	-0.16	0.17	0.03	-0.03	-0.07	0.17	-0.2	0.11	-0.02	-0.05	-0.14	0.27	-0.38	0.16	-0.21	0.49	-0.2
YKL189W	1.89	0.2	0.03	-0.06	0.16	-0.42	-0.53	-0.08	0.04	-0.32	0.33	-0.13	-0.08	-0.37	-0.14	-0.03	-0.33	-0.17
YKL188C	-0.04	0.32	0.53	-0.02	-0.27	0.04	0.04	0.06	-0.04	0.11	-0.04	-0.09	0.18	-0.265	-0.71	0.02	-0.32	0.25
YKL187C	0.24	0.28	0.03	0.08	0.11	0.11	-0.24	0.14	-0.23	0.03	0.55	-0.17	-0.35	-0.2	-0.07	0.18	-0.32	-0.18
YKL186C	0.05	-0.02	-0.11	-0.2	-0.28	0.2	-0.1	0.06	0.2	0.44	0.16	0.21	0.08	-0.24	-0.42	-0.22	-0.14	0.23
YKL185W	0.2	-0.61	0.13	-0.85	-0.99	-1.14	-1.5	-1.14	0.11	2.09	2.18	1.21	0.47	0.09	-0.37	-0.28	-0.5	0.9
YKL184W	0.03	-0.19	0.07	0.15	0.16	-0.01	0.1	0.14	0.26	0.1	-0.04	-0.17	-0.13	-0.17	-0.1	-0.04	-0.34	0.16
YKL183W	-0.38	-0.15	-0.38	-0.08	0.11	0.45	0.16	0.34	0.31	-0.01	0.29	-0.26	-0.36	-0.11	0.06	0.3	-0.03	-0.26
YKL182W	0.68	-0.02	0.13	-0.29	-0.29	-0.54	-0.41	-0.71	-0.47	-0.35	0.09	0.53	0.48	0.41	0.51	0.51	-0.19	-0.09
YKL181W	0.21	-0.33	-0.25	-0.14	-0.06	-0.2	0.05	-0.04	0.41	0.0	0.56	-0.17	0.01	-0.1	0.28	0.25	-0.17	-0.3
YKL180W	-0.06	-0.24	-0.36	0.0	-0.21	-0.07	-0.21	-0.08	0.17	0.07	0.04	0.27	0.27	-0.11	0.33	0.08	-0.03	0.14
YKL179C	0.0	0.13	-0.04	-0.01	0.0	0.01	-0.08	-0.08	0.05	-0.03	0.47	-0.11	-0.27	-0.04	0.17	0.31	-0.25	-0.23
YKL178C	-0.63	-0.31	0.01	-0.075	-0.117	-0.16	0.03	0.295	0.428	0.56	0.54	0.53	0.52	0.19	-0.16	0.15	-0.42	-0.09
YKL177W	0.16	-0.04	0.26	0.05	0.19	0.34	0.3	0.01	-0.15	-0.13	-0.32	-0.22	-0.01	-0.27	-0.23	-0.02	0.06	0.03
YKL176C	0.17	-0.54	-0.21	-0.29	0.14	-0.27	0.27	-0.08	0.04	0.2	-0.08	0.11	0.23	-0.19	0.01	0.08	0.38	0.03
YKL175W	0.09	-0.58	-0.13	-0.35	0.0	0.35	0.52	-0.04	0.28	-0.06	0.12	-0.19	0.11	-0.23	0.26	-0.08	0.2	-0.28
YKL174C	0.14	-0.48	-0.33	-0.37	0.17	-0.24	0.26	-0.27	0.14	-0.01	-0.15	-0.2	0.11	-0.35	-0.16	-0.22	0.26	1.72
YKL173W	-0.05	-0.42	-0.11	-0.03	0.17	0.45	-0.08	0.15	0.08	-0.08	0.34	-0.27	-0.19	-0.21	0.0	-0.07	0.26	0.07
YKL172W	0.13	-1.04	-0.86	-0.24	-0.06	0.1	0.32	0.34	0.3	0.24	-0.04	0.13	0.23	-0.04	-0.03	0.14	-0.01	0.4
YKL171W	-0.03	-0.13	0.22	0.22	0.0	0.0	0.14	-0.26	-0.08	-0.06	0.17	0.06	0.08	-0.18	0.09	-0.08	0.02	-0.18
YKL170W	0.18	0.26	0.16	0.2	-0.09	0.04	0.12	0.12	-0.05	0.06	-0.14	-0.1	0.01	-0.45	-0.12	-0.28	0.28	-0.21
YKL169C	0.17	0.13	0.17	0.1	0.22	0.19	0.17	0.1	-0.11	-0.09	-0.19	-0.23	-0.01	-0.28	-0.06	-0.25	0.28	-0.3
YKL168C	-0.08	0.18	0.2	-0.42	-0.01	-0.1	0.1	-0.24	-0.01	0.21	0.06	0.12	0.29	-0.37	-0.12	-0.14	0.15	0.18
YKL167C	0.15	0.1	0.03	0.09	0.2	0.16	0.2	0.25	-0.06	-0.06	-0.18	-0.28	0.06	-0.23	-0.06	-0.36	0.36	-0.38
YKL166C	0.47	-0.63	-0.04	-0.26	0.17	-0.05	0.37	0.19	0.3	0.28	0.0	-0.17	0.16	-0.24	-0.44	-0.09	-0.37	0.36
YKL165C	-0.4	-0.57	0.28	0.44	0.71	0.23	-0.03	-0.42	-0.28	-0.3	0.44	0.14	0.37	0.06	0.19	0.02	-0.57	-0.3
YKL164C	-0.46	0.85	-0.03	-0.46	-1.7	-1.18	-2.24	-1.53	-1.0	1.59	2.53	2.03	1.35	0.15	0.1	-0.53	0.02	0.51
YKL163W	0.19	1.21	0.66	-0.05	-0.85	-1.71	-1.51	-1.51	-0.61	1.03	2.18	1.43	0.92	0.03	-0.12	-0.57	-0.78	0.05
YKL162C	0.08	0.95	0.01	-0.88	-1.92	0.91	-0.84	0.42	-0.1	0.16	0.42	0.28	0.21	-0.12	-0.41	0.14	0.42	0.41
YKL161C	0.2	0.06	0.45	-0.1	-0.16	-0.035	0.09	0.1	-0.08	-0.31	0.05	-0.1	0.08	-0.33	0.43	0.14	-0.51	-0.03
YKL160W	-0.11	-0.07	-0.18	-0.2	-0.41	0.2	0.08	0.12	0.32	0.38	0.04	0.12	0.01	-0.35	0.01	-0.04	-0.02	0.11
YKL159C	0.18	0.01	0.01	-0.11	0.13	-0.06	0.08	-0.03	0.19	-0.28	0.13	-0.03	-0.02	-0.06	0.1	0.08	-0.13	-0.18
YKL158W	-0.2	-0.175	-0.15	0.0	-0.24	0.19	0.13	-0.08	0.07	0.23	0.01	0.12	-0.03	0.0	-0.08	0.09	-0.17	0.13
YKL157W	0.21	0.0	0.29	0.29	0.03	0.08	-0.14	-0.16	0.08	-0.29	0.17	0.14	-0.1	-0.11	0.03	0.19	-0.45	-0.27
YKL156W	-0.04	-0.08	-0.48	-0.04	-0.56	0.27	-0.08	0.24	0.1	0.5	-0.14	-0.1	0.18	-0.12	0.05	-0.12	0.3	0.13
YKL155C	0.11	-0.11	0.08	-0.1	-0.1	0.13	0.05	0.08	0.12	-0.11	0.16	0.04	-0.04	-0.2	-0.08	0.27	-0.28	-0.02
YKL154W	-0.24	-0.07	-0.61	0.04	-0.19	0.43	0.26	0.06	0.08	0.47	-0.09	0.02	0.27	-0.24	-0.19	0.08	-0.11	0.04
YKL153W	0.28	0.06	0.2	0.23	0.24	-0.18	0.22	0.05	-0.01	-0.16	-0.01	-0.42	-0.11	-0.3	0.23	-0.1	0.19	-0.4
YKL152C	0.43	0.09	0.38	-0.6	0.27	-0.15	0.48	-0.24	0.15	0.09	0.0	-0.16	0.06	-0.29	0.1	-0.26	-0.12	-0.22
YKL151C	0.11	0.27	0.55	0.48	0.24	-0.22	0.24	-0.29	-0.02	-0.26	-0.21	-0.24	-0.07	-0.46	-0.07	-0.17	0.52	-0.39
YKL150W	0.05	0.81	0.64	-0.16	0.05	0.11	0.14	0.0	-0.08	0.13	0.11	0.04	0.07	-0.29	0.17	-0.26	-1.29	-0.24
YKL149C	0.12	-0.36	-0.1	-0.08	0.46	0.12	0.38	-0.2	-0.07	0.07	-0.22	-0.12	0.12	-0.18	-0.01	-0.03	0.18	-0.08
YKL148C	0.09	0.58	0.99	0.605	0.22	-0.06	0.03	-0.29	-0.27	-0.04	0.0	0.0	0.05	-0.36	-0.04	-0.18	-0.48	-0.22
YKL147C	0.0	-0.43	0.16	0.16	0.25	0.235	0.22	0.04	0.07	-0.15	0.0	0.06	0.13	-0.43	-0.02	0.03	0.1	-0.17
YKL146W	-0.24	-0.2	0.1	0.22	0.34	-0.24	0.27	0.0	0.18	0.12	0.0	0.16	0.13	-0.39	-0.11	-0.09	0.1	-0.11
YKL145W	0.08	0.07	-0.01	-0.1	0.16	-0.07	0.32	0.01	0.13	0.05	0.07	0.04	-0.04	-0.43	-0.1	-0.08	0.13	-0.25
YKL144C	-0.03	-0.58	-0.18	0.0	0.18	-0.16	0.34	0.01	0.27	0.11	0.06	-0.03	0.21	-0.3	0.07	-0.18	0.18	0.0
YKL143W	0.33	-1.1	-0.73	-0.35	0.2	0.01	0.45	0.25	0.29	0.16	0.07	0.1	0.15	-0.15	-0.08	-0.06	0.29	0.18
YKL142W	0.37	0.83	0.67	-0.3	-0.01	-0.06	0.08	-0.14	-0.01	0.01	0.02	-0.22	0.02	-0.64	-0.03	-0.39	0.19	-0.39
YKL141W	0.21	0.16	0.5	0.31	0.16	-0.13	0.14	-0.1	0.17	-0.32	0.14	-0.3	0.13	-0.3	-0.01	-0.06	-0.43	-0.26
YKL140W	-0.14	0.01	-0.07	0.01	-0.22	0.08	0.01	-0.2	-0.02	0.35	0.05	0.14	0.18	0.03	-0.14	0.09	-0.26	0.08
YKL139W	-0.04	0.03	0.1	0.1	0.04	-0.1	0.06	0.03	0.24	-0.19	0.28	-0.23	0.06	-0.05	0.01	0.07	-0.12	-0.25
YKL138C	-0.1	0.0	0.02	0.22	-0.2	0.28	0.14	0.34	0.09	0.35	-0.01	0.02	-0.03	-0.32	-0.49	-0.21	-0.01	-0.07
YKL137W	0.07	0.41	0.13	0.29	-0.15	0.3	-0.11	0.15	-0.01	-0.37	-0.08	-0.21	0.07	-0.24	-0.07	0.07	-0.08	-0.16
YKL136W	0.33	0.07	-0.05	-0.29	0.2	-0.18	0.61	-0.14	0.07	-0.14	-0.03	-0.09	0.04	-0.35	0.25	-0.03	-0.24	-0.05
YKL135C	0.08	0.09	-0.15	-0.11	-0.08	-0.13	-0.08	-0.06	0.08	-0.15	0.08	-0.08	-0.08	0.02	0.12	0.6	-0.13	-0.01
YKL134C	-0.03	-0.085	-0.14	-0.21	0.01	-0.08	-0.02	0.01	-0.15	0.25	-0.1	0.08	0.06	-0.05	0.16	0.14	-0.02	0.09
YKL133C	0.18	0.22	0.26	0.14	0.18	0.2	-0.06	0.0	0.06	-0.1	0.0	-0.06	-0.02	-0.36	-0.08	-0.13	-0.21	0.0
YKL132C	0.29	0.12	0.04	-0.39	-0.31	-0.09	-0.07	-0.28	0.1	0.46	0.27	0.15	0.14	-0.44	-0.26	0.15	-0.14	0.26
YKL131W	0.12	0.05	-0.01	0.19	-0.04	-0.02	-0.04	0.03	0.23	-0.18	0.02	-0.19	0.09	-0.18	-0.01	0.17	-0.19	-0.05
YKL130C	-0.16	-0.33	-0.38	-0.36	-0.98	0.18	0.39	0.18	0.52	0.56	0.0	-0.11	0.09	-0.24	-0.07	0.16	0.16	0.39
YKL129C	0.22	-0.23	0.08	0.02	0.13	-0.14	0.18	0.01	-0.01	-0.14	0.16	-0.01	0.01	-0.35	0.01	-0.04	0.16	-0.04
YKL128C	1.83	-0.01	-0.68	-1.04	-0.31	-0.22	0.05	-0.13	0.02	0.18	0.13	0.14	0.24	-0.21	0.03	-0.13	0.22	-0.11
YKL127W	0.74	0.23	0.46	0.36	0.52	0.05	0.37	0.11	-0.37	-0.57	-0.45	-0.33	0.02	-0.34	0.13	-0.27	-0.07	-0.57
YKL126W	-0.19	-0.05	0.24	0.28	0.13	-0.09	0.23	-0.14	0.0	-0.13	-0.24	-0.26	-0.13	-0.06	0.21	-0.09	0.44	-0.14
YKL125W	-0.03	-0.19	-0.27	0.3	0.18	0.22	0.16	0.35	-0.03	0.07	-0.21	-0.12	0.0	-0.36	-0.09	-0.12	0.23	-0.1
YKL124W	-0.1	0.52	0.19	-0.23	-0.01	0.1	0.2	-0.03	0.02	0.02	-0.12	0.02	0.03	-0.23	-0.13	-0.26	0.1	-0.08
YKL123W	0.05	0.55	0.33	-0.02	0.06	0.14	0.19	0.38	-0.05	-0.17	-0.15	0.02	-0.02	-0.08	-0.07	-0.05	-1.0	-0.12
YKL122C	-0.09	0.06	-0.15	-0.28	-0.02	0.29	0.25	0.18	0.01	0.06	-0.18	-0.16	0.13	-0.15	0.09	-0.2	0.49	-0.32
YKL121W	0.13	0.11	0.09	-0.15	0.11	0.0	0.13	0.06	-0.06	-0.23	-0.06	0.01	0.2	-0.17	0.13	-0.11	0.08	-0.17
YKL120W	0.36	0.12	0.01	-0.6	0.09	0.04	0.36	-0.14	0.16	0.08	-0.12	-0.14	0.08	-0.2	-0.08	-0.12	0.23	-0.12
YKL119C	0.09	0.04	0.14	0.33	0.23	0.31	0.29	0.42	-0.04	-0.09	-0.05	-0.02	0.16	-0.09	-0.01	-0.21	-1.47	-0.04
YKL118W	0.09	0.12	0.15	0.06	0.14	0.22	0.09	0.025	-0.04	0.05	-0.37	-0.14	-0.13	-0.33	-0.37	-0.2	0.18	0.47
YKL117W	-0.04	0.1	-0.05	0.31	-0.08	0.28	-0.09	0.23	0.17	-0.13	0.14	-0.05	-0.04	-0.32	-0.05	-0.04	-0.09	-0.23
YKL116C	-0.16	-0.04	0.0	-0.02	-0.4	-0.1	-0.35	-0.4	-0.19	0.77	0.77	0.48	0.34	-0.23	-0.48	0.06	-0.35	0.29
YKL115C	0.16	0.32	0.28	-0.99	0.03	0.12	-0.04	0.13	0.01	-0.1	0.1	-0.09	0.31	0.07	-0.19	0.12	-0.09	-0.15
YKL114C	-0.14	0.01	-0.11	0.21	-0.33	0.34	-0.07	0.2	-0.05	0.31	0.09	0.25	-0.02	-0.3	-0.16	-0.24	0.01	0.01
YKL113C	-0.9	-0.23	0.51	1.01	0.52	0.18	-0.33	-0.56	-0.64	-0.49	0.46	0.77	0.72	-0.04	0.04	-0.03	-0.67	-0.33
YKL112W	-0.99	-0.47	-0.13	0.42	-0.08	0.57	-0.01	0.26	-0.2	0.24	-0.38	0.01	-0.01	-0.01	0.03	0.22	0.24	0.29
YKL111C	-0.64	-0.27	-0.08	0.21	0.09	0.26	0.02	0.2	0.02	-0.25	-0.09	-0.05	0.13	0.06	0.1	0.25	0.1	-0.08
YKL110C	0.27	-0.42	-0.37	-0.15	-0.06	0.04	0.02	-0.11	0.29	0.49	-0.09	0.13	0.2	-0.39	0.02	0.06	-0.11	0.18
YKL109W	1.6	0.77	-0.04	0.22	-0.02	-0.11	-0.25	-0.41	0.1	-0.12	-0.24	-0.22	-0.01	-0.55	-0.19	-0.12	-0.2	-0.2
YKL108W	-0.32	-0.11	0.36	0.55	0.15	0.12	-0.37	-0.46	-0.23	0.45	0.42	0.45	0.38	-0.34	-0.19	-0.15	-0.56	-0.13
YKL107W	0.19	0.1	0.14	0.38	-0.05	0.15	-0.26	0.13	0.0	-0.15	-0.04	-0.04	-0.06	-0.22	-0.09	0.09	-0.13	-0.13
YKL106W	-0.09	-0.18	-0.41	0.0	-0.07	0.26	-0.04	-0.16	0.13	0.41	0.13	0.16	0.13	-0.14	-0.2	0.0	-0.14	0.23
YKL105C	0.11	-0.06	0.08	-0.13	0.19	-0.06	0.1	-0.08	-0.1	-0.03	-0.03	-0.06	-0.01	-0.13	0.23	0.04	0.1	-0.15
YKL104C	1.22	0.84	0.8	0.15	-0.16	-0.58	-0.28	-0.17	-0.1	0.08	-0.09	0.17	-0.28	-0.67	-0.58	-0.34	0.09	-0.12
YKL103C	0.39	-0.14	0.28	0.13	0.19	-0.03	0.03	-0.44	-0.59	-0.42	-0.03	0.14	0.35	-0.08	0.35	-0.01	0.19	-0.33
YKL102C	0.71	0.31	0.33	0.03	0.2	-0.09	0.16	0.07	-0.16	-0.08	-0.35	0.03	-0.11	-0.39	-0.05	-0.07	-0.5	-0.04
YKL101W	-0.28	-0.43	-0.02	0.38	0.8	-0.02	0.17	-0.16	-0.58	-0.43	-0.22	0.53	0.69	0.08	0.05	-0.15	-0.11	-0.28
YKL100C	0.18	0.5	0.42	0.11	0.15	-0.02	0.25	-0.23	-0.25	-0.21	-0.3	-0.02	0.06	-0.32	0.02	-0.3	0.21	-0.25
YKL099C	0.09	-0.78	-0.53	-0.29	0.25	0.06	0.4	0.28	0.19	0.06	-0.19	-0.25	0.39	-0.07	0.09	0.0	0.31	0.0
